name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026
Zack Richardson,England,1500.0,1500.0,1452.1963992288133,1531.6827843797828
Mateusz Baranowski,Poland,1500.0,1500.0,1345.6274391196423,1428.9646980252403
Zak Surety,"England",1373.0158284447741,1558.7739374931575,2068.478969056671,1568.4426023635804
Farakh Ajaib,England,1277.3659814990017,1277.3659814990017,1363.6523281457708,1307.9754264461315
Mark Selby,"England",2466.168344805426,2207.1757933719005,2568.392134234866,2453.8937284342574
Sean O'Sullivan,"England",1361.1039055910728,1328.37699215949,1350.0832593451514,1350.0832593451514
Liam Davies,Wales,1273.3020614028242,1286.3581380998776,1442.014739031628,1602.35061461318
Ryan Thomerson,"Australia",1063.841279579148,1039.5773972839893,1194.274441577826,1194.274441577826
Alfie Davies,Wales,1500.0,1494.810438776875,1452.871136400468,1472.572432560649
Julien Leclercq,"Belgium",1431.581612545851,1410.367051237352,1544.339863086585,1664.0677372056414
Sydney Wilson,England,1500.0,1261.027781682594,1261.027781682594,1261.027781682594
Oliver Brown,"England",1105.4157269974962,1447.4781048204507,1447.4781048204507,1231.975900494099
Stan Moody,England,1341.1614840909422,1388.6154848798628,1836.6616038528146,2080.763474045628
Ashley Carty,England,1500.0,1432.703207484475,1418.2046162056217,1529.4590859501695
Jiang Jun,China,1500.0,1815.1834576636254,1648.162376875303,1890.1159627042573
Zak Sheldon,Northern Ireland,1500.0,1500.0,1500.0,1410.959490228951
Akani Songsermsawad,Thailand,1500.0,1500.0,1674.607708043661,1478.7541979418456
Aidan Murphy (II),England,1500.0,1500.0,1500.0,1409.5083113920173
Neil Robertson,"Australia",1975.3259300821956,2270.106602442906,2139.6493793606605,2216.8436248120615
Ng On Yee,"Hong Kong",1092.1143588551738,1092.1143588551738,1092.1143588551738,1126.4662618088887
Thepchaiya Un-Nooh,"Thailand",1906.7874488057655,1793.4202520534448,1700.6440338794905,2241.936818139593
Elliot Slessor,"England",1940.4530955561258,1890.4866647648375,2043.8425186561158,1845.624703098104
Ahmed Abul,Kuwait,1500.0,1500.0,1411.5726835440619,1411.5726835440619
Zhao Hanyang,China,1500.0,1500.0,1500.0,1458.6768192028535
Reanne Evans,"England",907.0625826936708,763.75452929007,988.911514082178,1146.3354158989341
Jordan Brown,"Northern Ireland",1675.6937029523822,1621.7190433155733,1549.2288205117486,1383.270373265635
Haitham Al Mahri,Oman,1500.0,1500.0,1386.4768462360698,1386.4768462360698
Abdulraouf Sayegh,Saudi Arabia,1500.0,1500.0,1480.5448050760363,1480.5448050760363
Stuart Bingham,"England",1762.4347778503736,2362.431058441126,1824.1205536916862,1989.4393818233034
Billy Joe Castle,England,1397.4042963382794,1397.4042963382794,1397.4042963382794,1397.4042963382794
Brian Cini,Malta,1500.0,1500.0,1384.6105879679928,1375.5428586220412
Jimmy White,"England",1394.2406007061745,1297.904296496137,1298.532397711495,1450.8126825643783
Mostafa Dorgham,Egypt,1500.0,1376.2040033051815,1257.8807360858991,1283.8059407769294
James Cahill,"England",1526.5748240764183,1343.4706494235966,1343.4706494235966,1544.3110394264738
Andres Petrov,"Estonia",1297.0887540106542,1323.7847168658586,1286.8571839454726,1286.8571839454726
Daniel Holoyda,Poland,1500.0,1367.253320577841,1367.253320577841,1367.253320577841
Martin Gould,"England",1502.534003802129,1512.9315159541925,1512.9315159541925,1512.9315159541925
Vladislav Gradinari,Moldova,1484.5970668287,1361.0053533014539,1360.991254423522,1273.029880346225
John Higgins,"Scotland",2333.2618277559773,2163.3142327188502,2633.980278495613,2523.318499273052
Ellise Scott,England,1500.0,1500.0,1500.0,1482.427781802784
Michael Georgiou,Cyprus,1509.4253123019535,1509.4253123019535,1509.4253123019535,1509.4253123019535
Dong Zihao,China,1500.0,1467.063193082472,1467.063193082472,1467.063193082472
Hesham Shawky,Egypt,1500.0,1500.0,1500.0,1461.812268469747
Himanshu Jain,"India",861.5435586771017,966.4591839763011,966.4591839763011,966.4591839763011
Lan Yuhao,China,1500.0,1450.6605532662518,1450.6605532662518,1550.4181485386002
Sophie Nix,Scotland,1500.0,1500.0,1489.3198375406557,1489.3198375406557
Fahad Alghamdi,Saudi Arabia,1500.0,1500.0,1500.0,1399.953264013858
Peifan Lei,"China",1380.0488631369446,1380.0488631369446,2273.912722558473,1659.7867183408948
Mink Nutcharut,"Thailand",944.6260925012878,897.8680291711838,1047.627010991705,943.732381341912
Khalid Kamali,United Arab Emirates,1500.0,1500.0,1430.1220156714323,1430.1220156714323
Mark Joyce,"England",1448.8387391828112,1397.7165822108846,1386.37490983235,1386.37490983235
Ali Carter,"England",1949.2409287815608,2006.761945910043,1982.9986680286565,2183.8733924889443
Si Jiahui,"China",2423.233058591443,1939.3633768057123,2118.7309419981843,1694.8635548151437
Igor Figueiredo,Brazil,1500.0,1500.0,1474.3745429668218,1537.222236728685
Mykhailo Larkov,Ukraine,1500.0,1500.0,1500.0,1342.2444878967908
Sahil Nayyar,India,1500.0,1500.0,1500.0,1292.6475637769981
Liu Yang,China,1500.0,1500.0,1500.0,1493.0573936626886
Xu Si,"China",1719.7039763315652,1461.2161770244725,1703.9974988580102,1940.2018987124068
Josh Mulholland,England,1500.0,1389.1161951113422,1430.0203034881822,1430.0203034881822
Shaun Liu,Hong Kong,1500.0,1485.3920356039807,1485.3920356039807,1485.3920356039807
Liam Highfield,"England",1546.1539653576353,1443.0952761880144,1558.3746815032798,2012.2661127649526
Liu Hongyu,China,1500.0,1598.1361574869438,1483.1117160779938,1643.3291801136118
Daniel Boyes,England,1500.0,1500.0,1493.0822056427917,1333.530070723295
Matthew Selt,"England",1977.0037961111173,1938.2715139883899,1920.8892219360228,1699.9225956732844
Jack Bradford,Wales,1500.0,1500.0,1500.0,1481.6957776344257
Anton Kazakov,"Ukraine",1074.3060268789495,1038.103301085819,1131.2022523505166,1275.53352878983
Dylan Emery,"Wales",1414.8862104428877,1349.1422752557348,1475.2192097033683,1707.8126020574275
Oliver Briffett-Payne,Wales,1441.889311854498,1393.872422058529,1430.212085247831,1445.329760823076
Peter Lines,"England",1488.2963686987803,1374.3228250590007,1457.7883000247546,1512.9131111316342
Ding Junhui,"China",1998.9783099018239,2332.2092502284536,2102.345243074061,2327.2970000477926
Gao Yang,China,1432.8304672141853,1463.1075271631273,1823.4234247482682,1648.0902515723471
Joe Shannon,Ireland,1500.0,1500.0,1489.1585165376669,1489.1585165376669
Craig Steadman,"England",1320.3130152208053,1449.8143593915895,1416.4277788824515,1342.9302775197339
Xu Yichen,China,1500.0,1500.0,1500.0,1512.0920184258064
Gerard Greene,"Northern Ireland",1372.3839806432482,1372.3839806432482,1290.2961582334426,1290.2961582334426
Oliver Sykes,England,1500.0,1358.2213652079029,1492.636699324706,1427.6984127252483
Asif Mukhtar,Pakistan,1500.0,1500.0,1500.0,1391.2082902932111
Sean McAllister,England,1500.0,1477.8260404372068,1477.8260404372068,1477.8260404372068
Hatem Yassen,Egypt,1500.0,1500.0,1154.3325060381412,1045.3848771233327
Kaylan Patel,England,1500.0,1500.0,1481.3808813792539,1412.2054771811559
George Pragnell (II),England,1405.9578957432473,1405.9578957432473,1405.9578957432473,1542.7971583106328
Sanderson Lam,"England",1533.1036534956213,1454.2132246154788,1531.5212389516087,1386.9489256286101
Joshua Thomond,England,1500.0,1431.5694721869838,1274.4193096205063,1274.4193096205063
Lyu Haotian,"China",1921.2573248268761,1925.3853367754705,1652.8420392754158,1706.4693656123638
Liam Pullen,England,1424.4031790470294,1460.3537391526963,1371.4376572251829,1956.4798845276323
Abdullah Alshammari,Saudi Arabia,1500.0,1500.0,1500.0,1420.8654431131406
Judd Trump,"England",2069.317279261707,2085.2877849124716,2684.456550439039,2486.955201802582
Asjad Iqbal,"Pakistan",1202.530338457898,1101.8398530258676,1101.8398530258676,1101.8398530258676
Artemijs Zizins,Latvia,1500.0,1500.0,1339.1470152173938,1499.6213112632838
Tian Pengfei,"China",1545.111701513198,1607.2433467093822,1452.2710250994123,1452.2710250994123
Alexander Ursenbacher,"Switzerland",1414.3737625694866,1492.4797306624898,1407.1211204665135,1446.099979373106
Wang Yuhang,China,1500.0,1500.0,1380.8507273539028,1380.8507273539028
Sam Craigie,"England",1710.0376716809249,1808.5353475949144,1808.5353475949144,1866.5963960668719
Daniel Wells,Wales,1620.026113757468,1801.436780076112,1837.5710639427227,1603.7266385693654
Tang Hewen,China,1500.0,1500.0,1500.0,1510.4914369080295
Pang Junxu,"China",2040.1173245301297,1761.8812336226515,1929.860922918204,1959.620828934509
Xing Zihao,China,1500.0,1534.9955041213025,1580.6310110848724,1580.6310110848724
Fan Zhengyi,"China",1744.3879518833166,1816.7974916848382,1975.8381288898263,2024.8919075240228
Wang Xinbo,China,1500.0,1593.0510958549678,1502.0825248381304,1567.934410331689
Patrick Whelan,England,1500.0,1500.0,1500.0,1537.3771452329224
Stuart Carrington,"England",1331.5998865776214,1720.2951857198525,1455.0801239858833,1356.903423211036
Lee Stephens,England,1337.5763931577048,1337.5763931577048,1337.5763931577048,1337.5763931577048
Ross Muir,Scotland,1309.3752176451712,1526.7684770700089,1488.4800650661966,1428.8405440858742
John Astley,"England",1727.2090130303725,1537.9431725079032,1537.9431725079032,1470.1595370232692
Steven Wardropper,Scotland,1500.0,1500.0,1481.4466297507347,1482.549478078923
Siripaporn Nuanthakhamjan,Thailand,1276.2839965159906,1065.516670596864,983.7933970180343,983.7933970180343
Mohamed Ibrahim,"Egypt",1025.62653778233,1106.5728018994807,1106.5728018994807,1106.5728018994807
Lim Kok Leong,Malaysia,1500.0,1500.0,1415.3268954795737,1415.3268954795737
Jimmy Robertson,"England",1779.9259701475087,1630.8697012594846,1944.505437671351,1643.7994738807865
Ethan Llewellyn,England,1500.0,1500.0,1500.0,1384.6557128492373
Gary Wilson,"England",2105.2789580830613,2143.6765399896144,1894.499724878911,2122.8270093223928
Faisal Bahashwan,Saudi Arabia,1500.0,1500.0,1402.9926156561987,1402.9926156561987
He Guoqiang,China,1500.0,1731.3111418751262,1789.0903279083968,1909.5442570294258
Manasawin Phetmalaikul,England,1500.0,1243.3633408665405,1350.6153031733297,1350.6153031733297
Fraser Patrick,"Scotland",1368.7307897268424,1368.7307897268424,1368.7307897268424,1368.7307897268424
Lukas Kleckers,"Germany",1504.0874902394337,1463.4176403373847,1463.4176403373847,1463.4176403373847
Jamie O'Neill,"England",1332.3702220417995,1178.823994163254,1221.4793020455884,1221.4793020455884
Dominic Dale,"Wales",1515.097422621805,1652.3277035753165,1452.9095668147545,1452.9095668147545
Alex Clenshaw,England,1500.0,1500.0,1500.0,1456.6074156422167
Jamie Clarke,"Wales",1455.575948299084,1516.653110004337,1532.3202004214586,1316.2562756483776
Chris Totten,Scotland,1500.0,1436.1437444192984,1426.0608912273087,1357.5567867798734
Gong Chenzhi,China,1500.0,1369.0464174054391,1596.2133551997915,1388.8975219341107
Ashley Hugill,"England",1602.8002076796513,1674.5206514588049,1674.5206514588049,1521.6121797177234
Jack Lisowski,"England",2007.1108618902274,2247.083214924161,2077.80099153723,1946.3886600339542
Peter Devlin,England,1504.317849750248,1504.317849750248,1504.317849750248,1504.317849750248
Wang Xinzhong,China,1500.0,1369.4782005142977,1369.4782005142977,1751.8440081359252
Kusai Hamed Sharif,Libya,1500.0,1500.0,1397.6971948297157,1397.6971948297157
Zhao Xintong,"China",1804.0266415511985,1804.0266415511985,2907.784953956968,2630.8032834377004
Hammad Miah,"England",1340.971847603686,1236.4465630192944,1393.6821134318989,1438.7353792903318
Habib Subah Humood,Bahrain,1500.0,1500.0,1352.3226563814167,1377.5113081838003
Robert Milkins,"England",1868.3580895634707,1694.795289331113,1493.2530574119687,1444.064318328683
Jenson Kendrick,"England",850.4980835098836,1621.9047271862426,1621.9047271862426,1621.9047271862426
Aaron Hill,"Ireland",1453.9247462411436,1527.3255836699386,1837.3602388690028,1710.1722742259703
Luke Simmonds,England,1451.3898958003274,1451.3898958003274,1451.3898958003274,1451.3898958003274
Andy Hicks,"England",1523.9333649883683,1587.8120102269556,1587.8120102269556,1587.8120102269556
Shaun Murphy,"England",2476.9584146709085,2024.8649347406522,2485.9790420472186,2613.7462940916175
Jak Jones,"Wales",2107.816601901766,2418.5623801767024,2044.8928005743956,2037.684351666528
Zhang Anda,"China",1832.8385726435108,1944.464561503285,1829.7135021293789,2246.4064533880105
Mohammed Asif,"Pakistan",1053.590610719043,1184.1001409935402,1184.1001409935402,1184.1001409935402
Leone Crowley,Ireland,1500.0,1485.43431652763,1263.8877599529933,1359.6244318520849
Robbie Williams,"England",1751.292119183355,1934.632379349224,1662.4892269880195,1631.230215700357
Long Zehuang,China,1500.0,1437.472025626892,1807.6177693477616,1890.1117269479312
Daniel Womersley,England,1500.0,1298.4246333180704,1242.1718205604743,1391.9849529899902
Musab Sayegh,Saudi Arabia,1500.0,1500.0,1500.0,1398.4716757072024
Matthew Stevens,"Wales",1757.203437450051,1690.4863212770604,1909.2054265323409,1766.0599646382075
Harvey Chandler,England,1414.603969034633,1414.603969034633,1405.603600088495,1405.603600088495
Jackson Page,"Wales",1804.327844829883,1899.272805583237,1901.2753905420152,1745.5192772076443
Zhou Jinhao,China,1500.0,1500.0,1410.7856690960023,1457.1325267844936
Zou Pengfei,China,1500.0,1500.0,1488.7596015169381,1488.7596015169381
Cao Yupeng,"China",1741.9095432227448,1819.1441701877843,1819.1441701877843,1819.1441701877843
Wu Yize,"China",1824.4391774058452,1615.4684657591533,2302.6097598246492,2403.4366268889216
Gary Thomson,Scotland,1500.0,1500.0,1500.0,1426.968656398283
Cao Jin,China,1500.0,1500.0,1494.3920892707054,1494.3920892707054
Steven Hallworth,England,1496.5837446782764,1526.2940713983155,1503.9364389779305,1378.6932825236804
Joe Perry,"England",1802.6187418285392,1567.9096691949917,1574.30950368443,1574.30950368443
Lewis Ullah,England,1280.0463189320685,1280.0463189320685,1370.1711023206992,1370.1711023206992
Ayman Alamri,Saudi Arabia,1500.0,1500.0,1387.0241346310243,1418.6695502517969
Han Fuyuan,China,1500.0,1500.0,1500.0,1471.8697377471628
Joel Connolly Jnr,Northern Ireland,1294.5293070366017,1319.3602225136058,1413.1843002638,1443.7850412859946
Adam Duffy,"England",1292.0849911377966,1052.6980722841815,1052.6980722841815,1052.6980722841815
Iulian Boiko,Ukraine,1616.067124243711,1273.6294154856037,1549.306357234833,1392.7804338277792
Amaan Iqbal,Scotland,1285.7087794990302,1350.151754562314,1281.8792806923675,1281.7849972192885
